127.0.0.1, 2014-11-02 21:21:00, GET, /admin/default/site, HTTP/1.1, 200, 0.061069
127.0.0.1, 2014-11-02 21:21:05, GET, /admin/default/design/bookmark, HTTP/1.1, 200, 0.146058
127.0.0.1, 2014-11-02 21:21:05, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000450
127.0.0.1, 2014-11-02 21:21:05, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001565
127.0.0.1, 2014-11-02 21:21:05, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000389
127.0.0.1, 2014-11-02 21:21:05, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000434
127.0.0.1, 2014-11-02 21:21:36, GET, /admin/default/site, HTTP/1.1, 200, 0.141185
127.0.0.1, 2014-11-02 21:21:41, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.177416
127.0.0.1, 2014-11-02 21:22:36, GET, /admin/default/site, HTTP/1.1, 200, 0.062848
127.0.0.1, 2014-11-02 21:22:41, GET, /admin/default/design/bookmark, HTTP/1.1, 200, 0.124560
127.0.0.1, 2014-11-02 21:22:41, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000450
127.0.0.1, 2014-11-02 21:22:42, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000395
127.0.0.1, 2014-11-02 21:22:42, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000351
127.0.0.1, 2014-11-02 21:22:42, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000316
127.0.0.1, 2014-11-02 21:22:42, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000322
127.0.0.1, 2014-11-02 21:22:56, GET, /bookmark/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000452
127.0.0.1, 2014-11-02 21:23:02, GET, /admin/default/design/bookmark, HTTP/1.1, 200, 0.379131
127.0.0.1, 2014-11-02 21:29:18, GET, /admin/default/design/bookmark, HTTP/1.1, 200, 0.149815
127.0.0.1, 2014-11-02 21:29:18, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000523
127.0.0.1, 2014-11-02 21:29:19, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000558
127.0.0.1, 2014-11-02 21:29:19, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.000460
127.0.0.1, 2014-11-02 21:29:19, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000376
127.0.0.1, 2014-11-02 21:29:19, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.000414
127.0.0.1, 2014-11-02 21:52:16, GET, /admin/default/design/bookmark, HTTP/1.1, 303, 0.006104
127.0.0.1, 2014-11-02 21:52:16, GET, /admin/default/index, HTTP/1.1, 200, 0.045615
127.0.0.1, 2014-11-02 21:52:16, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.000480
127.0.0.1, 2014-11-02 21:52:16, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.000445
127.0.0.1, 2014-11-02 21:52:16, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.000400
127.0.0.1, 2014-11-02 21:52:16, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.000435
